IP,ORGNAME
10.139.202.228,own
64.74.101.65,other
173.194.69.95,Google Inc.
173.194.69.147,Google Inc.
173.194.69.138,Google Inc.
173.194.69.101,Google Inc.
173.194.69.113,Google Inc.
173.194.69.188,Google Inc.
173.194.69.103,Google Inc.
66.150.102.51,other
69.171.245.80,Facebook, Inc.
199.167.177.54,other
199.167.177.44,other
199.167.177.39,other
199.167.177.43,other
199.167.177.46,other
174.35.6.19,CDNetworks Inc.
174.35.5.36,CDNetworks Inc.
174.35.6.9,CDNetworks Inc.
174.35.7.18,CDNetworks Inc.
66.196.66.156,Inktomi Corporation
194.176.32.163,OMNITEL-NET-32
77.67.27.8,AKAMAI-TINET
31.13.64.32,IE-FACEBOOK-20110418
213.155.152.163,AKAMAI
80.239.149.80,AKAMAI
