date,radio,screen,netType,rncState,hspaChannels,na1,na2,na3,na4,na5,na6,na7
1367004991324,RADIO,0,15,DCH,1,-85,-85,-4,13273104,200,246,01
1367004992434,RADIO,0,15,DCH,1,-86,-85,-4,13273104,200,246,01
1367004993540,RADIO,0,15,DCH,1,-84,-85,-4,13273104,200,246,01
1367004994644,RADIO,0,15,DCH,1,-83,-85,-3,13273104,200,246,01
1367004995784,RADIO,0,15,DCH,1,-85,-85,-3,13273104,200,246,01
1367004996901,RADIO,0,8,FACH,0,-85,-85,-4,13273104,200,246,01
1367004998006,RADIO,0,8,FACH,0,-85,-85,-3,13273104,200,246,01
1367004999114,RADIO,0,8,FACH,0,-85,-85,-4,13273104,200,246,01
1367005000221,RADIO,0,8,FACH,0,-87,-85,-5,13273104,200,246,01
1367005001328,RADIO,0,8,FACH,0,-86,-85,-4,13273104,200,246,01
1367005002432,RADIO,0,8,IDLE,0,-84,-85,-4,13273104,200,246,01
1367005003512,RADIO,0,8,IDLE,0,-84,-85,-4,13273104,200,246,01
1367005004624,RADIO,0,8,IDLE,0,-84,-85,-4,13273104,200,246,01
1367005005739,RADIO,0,8,IDLE,0,-86,-85,-4,13273104,200,246,01
1367005006852,RADIO,0,8,IDLE,0,-86,-85,-4,13273104,200,246,01
1367005007973,RADIO,0,8,IDLE,0,-86,-85,-4,13273104,200,246,01
1367005009081,RADIO,0,8,IDLE,0,-86,-85,-4,13273104,200,246,01
1367005010193,RADIO,0,8,IDLE,0,-86,-85,-4,13273104,200,246,01
1367005011306,RADIO,0,8,IDLE,0,-86,-85,-4,13273104,200,246,01
1367005012418,RADIO,0,8,IDLE,0,-86,-85,-4,13273104,200,246,01
1367005013528,RADIO,0,8,IDLE,0,-86,-85,-4,13273104,200,246,01
1367005014637,RADIO,0,8,IDLE,0,-86,-85,-4,13273104,200,246,01
1367005015747,RADIO,0,8,IDLE,0,-86,-85,-4,13273104,200,246,01
1367005016860,RADIO,0,8,IDLE,0,-86,-85,-4,13273104,200,246,01
1367005017975,RADIO,0,8,IDLE,0,-86,-85,-4,13273104,200,246,01
1367005019086,RADIO,0,8,IDLE,0,-85,-85,-6,13273104,200,246,01
1367005020185,RADIO,0,8,IDLE,0,-84,-85,-5,13273104,200,246,01
1367005021292,RADIO,0,8,IDLE,0,-84,-85,-4,13273104,200,246,01
1367005022403,RADIO,0,8,IDLE,0,-85,-85,-3,13273104,200,246,01
1367005023526,RADIO,0,8,IDLE,0,-85,-85,-3,13273104,200,246,01
1367005024633,RADIO,0,8,IDLE,0,-85,-85,-3,13273104,200,246,01
1367005025749,RADIO,0,8,IDLE,0,-85,-85,-3,13273104,200,246,01
1367005026849,RADIO,0,8,IDLE,0,-85,-85,-3,13273104,200,246,01
1367005027950,RADIO,0,8,IDLE,0,-85,-85,-3,13273104,200,246,01
1367005029062,RADIO,0,8,IDLE,0,-85,-85,-3,13273104,200,246,01
1367005030174,RADIO,0,8,IDLE,0,-85,-85,-3,13273104,200,246,01
1367005031283,RADIO,0,8,IDLE,0,-85,-85,-3,13273104,200,246,01
1367005032392,RADIO,0,8,IDLE,0,-85,-85,-3,13273104,200,246,01
1367005033520,RADIO,0,8,IDLE,0,-85,-85,-3,13273104,200,246,01
1367005034632,RADIO,0,8,IDLE,0,-85,-85,-3,13273104,200,246,01
1367005035746,RADIO,0,8,IDLE,0,-85,-85,-3,13273104,200,246,01
1367005036859,RADIO,0,8,IDLE,0,-85,-85,-3,13273104,200,246,01
1367005037967,RADIO,0,8,IDLE,0,-85,-85,-3,13273104,200,246,01
1367005039070,RADIO,1,8,IDLE,0,-85,-85,-3,13273104,200,246,01
