USER,OPERATOR,VERSION,TIME,DURATIONPREVSTATE,PREVSTATE,NEXTSTATE,PROMOTIONID
andrius,omnitel,cm10.1,1367005041291,1119,IDLE,DCH,1
andrius,omnitel,cm10.1,1367005047867,1139,DCH,FACH,2
andrius,omnitel,cm10.1,1367005058575,1085,FACH,DCH,3
andrius,omnitel,cm10.1,1367005068608,1036,DCH,FACH,4
andrius,omnitel,cm10.1,1367005072892,1048,FACH,DCH,5
andrius,omnitel,cm10.1,1367005080248,1109,DCH,IDLE,6
andrius,omnitel,cm10.1,1367005081256,1008,IDLE,IDLE_CCCH,7
andrius,omnitel,cm10.1,1367005082352,1096,IDLE_CCCH,DCH,8
andrius,omnitel,cm10.1,1367005089969,1025,DCH,FACH,9
andrius,omnitel,cm10.1,1367005095218,1023,FACH,DCH,10
andrius,omnitel,cm10.1,1367005101793,1021,DCH,IDLE,11
andrius,omnitel,cm10.1,1367005121727,1106,IDLE,IDLE_CCCH,12
andrius,omnitel,cm10.1,1367005122751,1024,IDLE_CCCH,FACH,13
andrius,omnitel,cm10.1,1367005123852,1101,FACH,DCH,14
andrius,omnitel,cm10.1,1367005129343,1077,DCH,FACH,15
andrius,omnitel,cm10.1,1367005135875,1023,FACH,IDLE,16
andrius,omnitel,cm10.1,1367005159246,1114,IDLE,IDLE_CCCH,17
andrius,omnitel,cm10.1,1367005160308,1062,IDLE_CCCH,DCH,18
andrius,omnitel,cm10.1,1367005166907,1080,DCH,FACH,19
andrius,omnitel,cm10.1,1367005172431,1105,FACH,IDLE,20
andrius,omnitel,cm10.1,1367005210171,1105,IDLE,IDLE_CCCH,21
andrius,omnitel,cm10.1,1367005211183,1012,IDLE_CCCH,DCH,22
andrius,omnitel,cm10.1,1367005217694,1062,DCH,FACH,23
andrius,omnitel,cm10.1,1367005225401,1110,FACH,IDLE,24
andrius,omnitel,cm10.1,1367005281944,1013,IDLE,IDLE_CCCH,25
andrius,omnitel,cm10.1,1367005283042,1098,IDLE_CCCH,DCH,26
andrius,omnitel,cm10.1,1367005290651,1012,DCH,FACH,27
andrius,omnitel,cm10.1,1367005293863,1068,FACH,DCH,28
andrius,omnitel,cm10.1,1367005302460,1067,DCH,FACH,29
andrius,omnitel,cm10.1,1367005314641,1114,FACH,IDLE,30
andrius,omnitel,cm10.1,1367005494686,1089,IDLE,FACH,31
andrius,omnitel,cm10.1,1367005495762,1076,FACH,DCH,32
andrius,omnitel,cm10.1,1367005502383,1112,DCH,FACH,33
andrius,omnitel,cm10.1,1367005507897,1105,FACH,IDLE,34
andrius,omnitel,cm10.1,1367005556687,1101,IDLE,IDLE_CCCH,35
andrius,omnitel,cm10.1,1367005557791,1104,IDLE_CCCH,FACH,36
andrius,omnitel,cm10.1,1367005558815,1024,FACH,DCH,37
andrius,omnitel,cm10.1,1367005565391,1074,DCH,FACH,38
andrius,omnitel,cm10.1,1367005566413,1022,FACH,IDLE,39
andrius,omnitel,cm10.1,1367005682016,1314,IDLE,FACH,40
andrius,omnitel,cm10.1,1367005683095,1079,FACH,DCH,41
andrius,omnitel,cm10.1,1367005689733,1111,DCH,FACH,42
andrius,omnitel,cm10.1,1367005695252,1106,FACH,IDLE,43
andrius,omnitel,cm10.1,1367005919596,1102,IDLE,DCH,44
andrius,omnitel,cm10.1,1367005929466,1104,DCH,FACH,45
andrius,omnitel,cm10.1,1367005935031,1134,FACH,IDLE,46
andrius,omnitel,cm10.1,1367005940572,1105,IDLE,DCH,47
andrius,omnitel,cm10.1,1367005947107,1016,DCH,IDLE,48
andrius,omnitel,cm10.1,1367005952622,1107,IDLE,DCH,49
andrius,omnitel,cm10.1,1367005959136,1022,DCH,IDLE,50
andrius,omnitel,cm10.1,1367005976771,1105,IDLE,DCH,51
andrius,omnitel,cm10.1,1367005983291,1072,DCH,IDLE,52
andrius,omnitel,cm10.1,1367006011022,1076,IDLE,IDLE_CCCH,53
andrius,omnitel,cm10.1,1367006012116,1094,IDLE_CCCH,DCH,54
andrius,omnitel,cm10.1,1367006020867,1031,DCH,FACH,55
andrius,omnitel,cm10.1,1367006021973,1106,FACH,IDLE,56
andrius,omnitel,cm10.1,1367006221921,1024,IDLE,IDLE_CCCH,57
andrius,omnitel,cm10.1,1367006223040,1119,IDLE_CCCH,DCH,58
andrius,omnitel,cm10.1,1367006232831,1110,DCH,FACH,59
andrius,omnitel,cm10.1,1367006238384,1143,FACH,IDLE,60
andrius,omnitel,cm10.1,1367006338492,1106,IDLE,FACH,61
andrius,omnitel,cm10.1,1367006339516,1024,FACH,DCH,62
andrius,omnitel,cm10.1,1367006346056,1014,DCH,FACH,63
andrius,omnitel,cm10.1,1367006357071,1074,FACH,IDLE,64
andrius,omnitel,cm10.1,1367006522405,1023,IDLE,IDLE_CCCH,65
andrius,omnitel,cm10.1,1367006523506,1101,IDLE_CCCH,FACH,66
andrius,omnitel,cm10.1,1367006524583,1077,FACH,DCH,67
andrius,omnitel,cm10.1,1367006532148,1027,DCH,FACH,68
andrius,omnitel,cm10.1,1367006537587,1102,FACH,IDLE,69
andrius,omnitel,cm10.1,1367006668406,1096,IDLE,DCH,70
andrius,omnitel,cm10.1,1367006679179,1068,DCH,FACH,71
andrius,omnitel,cm10.1,1367006681259,1065,FACH,IDLE,72
andrius,omnitel,cm10.1,1367006748887,1105,IDLE,DCH,73
andrius,omnitel,cm10.1,1367006757611,1079,DCH,FACH,74
andrius,omnitel,cm10.1,1367006763175,1144,FACH,IDLE,75
andrius,omnitel,cm10.1,1367006764282,1107,IDLE,DCH,76
andrius,omnitel,cm10.1,1367006771991,1105,DCH,FACH,77
andrius,omnitel,cm10.1,1367006789374,1023,FACH,DCH,78
andrius,omnitel,cm10.1,1367006797046,1129,DCH,FACH,79
andrius,omnitel,cm10.1,1367006803594,1022,FACH,IDLE,80
andrius,omnitel,cm10.1,1367006805784,1073,IDLE,IDLE_CCCH,81
andrius,omnitel,cm10.1,1367006806900,1116,IDLE_CCCH,DCH,82
andrius,omnitel,cm10.1,1367006813344,1012,DCH,IDLE,83
andrius,omnitel,cm10.1,1367006841377,1101,IDLE,DCH,84
andrius,omnitel,cm10.1,1367006849004,1083,DCH,FACH,85
andrius,omnitel,cm10.1,1367006858791,1115,FACH,IDLE,86
andrius,omnitel,cm10.1,1367006862107,1096,IDLE,IDLE_CCCH,87
andrius,omnitel,cm10.1,1367006863121,1014,IDLE_CCCH,DCH,88
andrius,omnitel,cm10.1,1367006869660,1111,DCH,IDLE,89
andrius,omnitel,cm10.1,1367006886291,1104,IDLE,DCH,90
andrius,omnitel,cm10.1,1367006896036,1075,DCH,FACH,91
andrius,omnitel,cm10.1,1367006897140,1104,FACH,IDLE,92
andrius,omnitel,cm10.1,1367007014687,1102,IDLE,DCH,93
andrius,omnitel,cm10.1,1367007023477,1106,DCH,FACH,94
andrius,omnitel,cm10.1,1367007029017,1105,FACH,IDLE,95
andrius,omnitel,cm10.1,1367007103774,1100,IDLE,DCH,96
andrius,omnitel,cm10.1,1367007111411,1095,DCH,FACH,97
andrius,omnitel,cm10.1,1367007112517,1106,FACH,IDLE,98
andrius,omnitel,cm10.1,1367007119061,1022,IDLE,IDLE_CCCH,99
andrius,omnitel,cm10.1,1367007120125,1064,IDLE_CCCH,DCH,100
