USER,OPERATOR,OSVERSION,PROMOTIONID,SCREEN,TIME,PROTOCOL,PACKAGE,DIRECTION,LENGTH,SRC,DST,SRPPORT,DSTPORT,SYN,ACK,FIN
USER,OPERATOR,OSVERSION,PROMOTIONID,SCREEN,TIME,PROTOCOL,PACKAGE,DIRECTION,LENGTH,SRC,DST,SRPPORT,DSTPORT,SYN,ACK,FIN
USER,OPERATOR,OSVERSION,PROMOTIONID,SCREEN,TIME,PROTOCOL,PACKAGE,DIRECTION,LENGTH,SRC,DST,SRPPORT,DSTPORT,SYN,ACK,FIN
USER,OPERATOR,OSVERSION,PROMOTIONID,SCREEN,TIME,PROTOCOL,PACKAGE,DIRECTION,LENGTH,SRC,DST,SRPPORT,DSTPORT,SYN,ACK,FIN
andrius,omnitel,cm10.1,1,-1,1367004991176,TCP,com.google.android.apps.maps,1,52,173.194.69.147,10.139.202.228,443,58200,0,1,1
andrius,omnitel,cm10.1,1,-1,1367004991176,TCP,com.google.android.apps.maps,-1,64,10.139.202.228,173.194.69.147,58200,443,0,1,0
andrius,omnitel,cm10.1,1,-1,1367004991176,TCP,com.google.android.apps.maps,1,52,173.194.69.147,10.139.202.228,443,58200,0,1,1
andrius,omnitel,cm10.1,1,-1,1367004991177,TCP,com.google.android.apps.maps,-1,64,10.139.202.228,173.194.69.147,58200,443,0,1,0
andrius,omnitel,cm10.1,1,1,1367005041145,TCP,com.google.android.gms,-1,185,10.139.202.228,173.194.69.188,54784,5228,0,1,0
andrius,omnitel,cm10.1,1,1,1367005042955,TCP,com.google.android.gms,1,40,173.194.69.188,10.139.202.228,5228,54784,0,0,0
andrius,omnitel,cm10.1,1,1,1367005047305,TCP,com.google.android.gm,-1,52,10.139.202.228,173.194.69.101,50652,443,0,1,1
andrius,omnitel,cm10.1,1,1,1367005047305,TCP,com.google.android.gm,-1,52,10.139.202.228,173.194.69.113,42337,443,0,1,1
andrius,omnitel,cm10.1,1,1,1367005047306,TCP,com.google.android.gm,1,40,173.194.69.101,10.139.202.228,443,50652,0,0,0
andrius,omnitel,cm10.1,1,1,1367005047306,TCP,com.google.android.gm,1,40,173.194.69.113,10.139.202.228,443,42337,0,0,0
andrius,omnitel,cm10.1,2,1,1367005049770,UDP,root,-1,62,10.139.202.228,194.176.32.163,56508,53,,,
andrius,omnitel,cm10.1,2,1,1367005049770,UDP,root,1,243,194.176.32.163,10.139.202.228,53,56508,,,
andrius,omnitel,cm10.1,2,1,1367005049771,TCP,com.google.android.gms,-1,60,10.139.202.228,173.194.69.188,47428,5228,1,0,0
andrius,omnitel,cm10.1,2,1,1367005049771,TCP,com.google.android.gms,1,60,173.194.69.188,10.139.202.228,5228,47428,1,1,0
andrius,omnitel,cm10.1,2,1,1367005049771,TCP,com.google.android.gms,-1,52,10.139.202.228,173.194.69.188,47428,5228,0,1,0
andrius,omnitel,cm10.1,2,1,1367005049771,TCP,com.google.android.gms,-1,268,10.139.202.228,173.194.69.188,47428,5228,0,1,0
andrius,omnitel,cm10.1,2,1,1367005050915,TCP,com.google.android.gms,1,60,173.194.69.188,10.139.202.228,5228,47428,1,1,0
andrius,omnitel,cm10.1,2,1,1367005050916,TCP,com.google.android.gms,-1,64,10.139.202.228,173.194.69.188,47428,5228,0,1,0
andrius,omnitel,cm10.1,2,1,1367005050916,TCP,com.google.android.gms,1,52,173.194.69.188,10.139.202.228,5228,47428,0,1,0
andrius,omnitel,cm10.1,2,1,1367005050916,TCP,com.google.android.gms,1,181,173.194.69.188,10.139.202.228,5228,47428,0,1,0
andrius,omnitel,cm10.1,2,1,1367005050916,TCP,com.google.android.gms,-1,52,10.139.202.228,173.194.69.188,47428,5228,0,1,0
andrius,omnitel,cm10.1,2,1,1367005050916,TCP,com.google.android.gms,-1,95,10.139.202.228,173.194.69.188,47428,5228,0,1,0
andrius,omnitel,cm10.1,2,1,1367005052335,TCP,com.google.android.gms,1,52,173.194.69.188,10.139.202.228,5228,47428,0,1,0
andrius,omnitel,cm10.1,2,1,1367005052335,TCP,com.google.android.gms,-1,74,10.139.202.228,173.194.69.188,47428,5228,0,1,0
andrius,omnitel,cm10.1,2,1,1367005052336,TCP,com.google.android.gms,1,52,173.194.69.188,10.139.202.228,5228,47428,0,1,0
andrius,omnitel,cm10.1,2,1,1367005052336,TCP,com.google.android.gms,1,74,173.194.69.188,10.139.202.228,5228,47428,0,1,0
andrius,omnitel,cm10.1,2,1,1367005052336,TCP,com.google.android.gms,-1,52,10.139.202.228,173.194.69.188,47428,5228,0,1,0
andrius,omnitel,cm10.1,2,1,1367005052336,TCP,com.google.android.gms,-1,232,10.139.202.228,173.194.69.188,47428,5228,0,1,0
andrius,omnitel,cm10.1,2,1,1367005054955,TCP,com.google.android.gms,1,152,173.194.69.188,10.139.202.228,5228,47428,0,1,0
